,date,region,population,sample_size,reach,sample_size_recent,reach_recent,p_infected,p_infected_low,p_infected_high,p_fatalities,p_fatalities_low,p_fatalities_high,p_hospital,p_hospital_low,p_hospital_high,p_recent,p_recent_low,p_recent_high,p_daily,p_daily_low,p_daily_high,p_active,p_active_low,p_active_high
1,2022/11/28,DEBB,2485000,9,221,3,70,0.660633484162896,0.59820730706594,0.723059661259851,0.00909090909090909,0,0.0268275883383194,0.0181818181818182,0,0.0431499436964207,0.0142857142857143,0,0.0420844840336408,0.00204081632653061,0,0.0126128228038607,0,0,0
2,2022/11/28,DEBE,3520000,77,1985,46,1102,0.653904282115869,0.632976507998767,0.674832056232971,0.0053475935828877,0.00204205558889776,0.00865313157687764,0.0101604278074866,0.00561509496363775,0.0147057606513355,0.0117967332123412,0.00542201025486728,0.0181714561698151,0.00168524760176303,0,0.00410696185063378,0.00816696914700544,0.00285314675029623,0.0134807915437147
3,2022/11/28,DEBW,10880000,96,2567,48,1349,0.605375925204519,0.586468189722346,0.624283660686692,0.00537856847331403,0.00246267251965141,0.00829446442697664,0.0106700810926163,0.00650986031901038,0.0148303018662222,0.0229799851742031,0.0149840600512345,0.0309759102971718,0.00328285502488616,0.000230367254343938,0.00633534279542838,0.0244625648628614,0.0162189995891998,0.032706130136523
4,2022/11/28,DEBY,12844000,100,2616,45,1220,0.647935779816514,0.62963345966603,0.666238099966997,0.00212856534695615,0.000264816569014033,0.00399231412489827,0.0232858990944373,0.0171478840134698,0.0294239141754047,0.0163934426229508,0.00926796524093334,0.0235189200049683,0.00234192037470726,0,0.00505426644197931,0.0163934426229508,0.00926796524093334,0.0235189200049683
5,2022/11/28,DEHB,671000,9,287,6,192,0.651567944250871,0.596443268338836,0.706692620162906,0,0,0,0.0126582278481013,0,0.0268911517735286,0.0260416666666667,0.00351473439088425,0.0485685989424491,0.00372023809523809,0,0.0123316328589856,0.0260416666666667,0.00351473439088425,0.0485685989424491
6,2022/11/28,DEHE,6176000,64,1570,37,862,0.643949044585987,0.620263678909985,0.66763441026199,0.00222551928783383,0,0.00474108126804083,0.0248493975903614,0.0164771351660526,0.0332216600146703,0.0120918984280532,0.00464284901853514,0.0195409478375713,0.00172741406115046,0,0.00455762062538243,0.0104408352668213,0.00365531795902313,0.0172263525746196
7,2022/11/28,DEHH,1787000,23,507,16,322,0.656804733727811,0.615477827678787,0.698131639776834,0,0,0,0.0181818181818182,0.00569775542451692,0.0306658809391194,0.0279503105590062,0.00994677889075156,0.0459538422272609,0.00399290150842946,0,0.0108809416730256,0.015527950310559,0.00202343763758396,0.0290324629835341
8,2022/11/28,DEMV,1612000,2,35,2,35,0.171428571428571,0.0465693424915521,0.296287800365591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022/11/28,DENI,7927000,51,1173,23,539,0.651321398124467,0.624049874245525,0.678592922003409,0.0134228187919463,0.00643899402873309,0.0204066435551595,0.0182186234817814,0.00987922370227983,0.0265580232612829,0.0315398886827458,0.016785383291092,0.0462943940743996,0.0045056983832494,0,0.0101596769225326,0.0166975881261596,0.00588015714935777,0.0275150191029613
10,2022/11/28,DENW,17865000,100,2478,52,1215,0.624697336561743,0.605632938808405,0.643761734315082,0.00457380457380457,0.00187709680944371,0.00727051233816544,0.0228690228690229,0.0168946717105508,0.0288433740274949,0.0230452674897119,0.0146082674866068,0.0314822674928171,0.00329218106995885,7.12180302498292e-05,0.00651314410966787,0.0238683127572016,0.015285591312272,0.0324510342021313
11,2022/11/28,DERP,4053000,29,619,15,350,0.473344103392569,0.434011315719369,0.512676891065768,0.0207939508506616,0.00863416839081749,0.0329537333105058,0.0187891440501044,0.00662966399831592,0.0309486241018928,0.00571428571428571,0,0.0136110767209534,0.000816326530612245,0,0.00380837544430112,0.00571428571428571,0,0.0136110767209534
12,2022/11/28,DESH,2859000,21,553,13,308,0.596745027124774,0.555859481719981,0.637630572529567,0,0,0,0.00380952380952381,0,0.00907909138525688,0.025974025974026,0.00821056291658254,0.0437374890314694,0.00371057513914657,0,0.0105008305184909,0.0227272727272727,0.0060834039123985,0.039371141542147
13,2022/11/28,DESL,996000,15,399,7,143,0.649122807017544,0.602295126429153,0.695950487605935,0.0078125,0,0.0166184125788982,0.0130208333333333,0.0016823266177698,0.0243593400488969,0.020979020979021,0,0.0444682455493149,0.002997002997003,0,0.01195625789538,0.013986013986014,0,0.0332332596267892
14,2022/11/28,DESN,4085000,24,604,15,419,0.660596026490066,0.622833933143924,0.698358119836208,0,0,0,0.00662251655629139,0.000154095175831705,0.0130909379367511,0.00715990453460621,0,0.0152328933211336,0.00102284350494374,0,0.00408356246680139,0.00715990453460621,0,0.0152328933211336
15,2022/11/28,DEST,2245000,15,360,9,198,0.511111111111111,0.459474279644766,0.562747942577456,0,0,0,0.00906344410876133,0,0.0192729247403439,0.0151515151515152,0,0.0321663696133538,0.00216450216450216,0,0.00863777605798942,0.0101010101010101,0,0.0240291570172345
16,2022/11/28,DETH,2171000,8,108,4,49,0.37962962962963,0.288104197614495,0.471155061644765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
