,date,region,population,sample_size,reach,sample_size_recent,reach_recent,p_infected,p_infected_low,p_infected_high,p_fatalities,p_fatalities_low,p_fatalities_high,p_hospital,p_hospital_low,p_hospital_high,p_recent,p_recent_low,p_recent_high,p_daily,p_daily_low,p_daily_high,p_active,p_active_low,p_active_high
1,2022/12/08,USAK,731545,1,25,0,0,0.88,0.752617418543146,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2022/12/08,USAL,4903185,15,385,7,235,0.553246753246753,0.503586260787405,0.602907245706101,0.0103896103896104,0.000261008990248708,0.0205182117889721,0.0909090909090909,0.0621930184108171,0.119625163407365,0.0340425531914894,0.0108577069691545,0.0572273994138242,0.00486322188449848,0,0.0137576410151099,0.0127659574468085,0,0.027119229527479
3,2022/12/08,USAR,3017825,6,131,3,36,0.32824427480916,0.247833043678799,0.408655505939522,0,0,0,0.0152671755725191,0,0.0362638735140469,0,0,0,0,0,0,0,0,0
4,2022/12/08,USAZ,7278717,17,404,7,247,0.507425742574257,0.458675193433276,0.556176291715239,0.00802139037433155,0,0.0170618033484382,0.0213903743315508,0.00672725989746084,0.0360534887656408,0.0202429149797571,0.00268005065806399,0.0378057793014502,0.00289184499710815,0,0.0095885050641724,0.0364372469635627,0.0130697392684486,0.0598047546586769
5,2022/12/08,USCA,39512223,73,1840,36,1014,0.426086956521739,0.403492008482009,0.448681904561469,0.00720221606648199,0.0033012429222612,0.0111031892107028,0.0224089635854342,0.0155427316148029,0.0292751955560655,0.0118343195266272,0.00517828383178879,0.0184903552214656,0.00169061707523246,0,0.00421924142387152,0.0138067061143984,0.00662454445230048,0.0209888677764964
6,2022/12/08,USCO,5758736,13,398,4,120,0.324120603015075,0.278137901999684,0.370103304030467,0.00529100529100529,0,0.0126044050237656,0.0211640211640212,0.00665439420908178,0.0356736481189605,0.0166666666666667,0,0.0395717683152074,0.00238095238095238,0,0.0111009263621925,0.0166666666666667,0,0.0395717683152074
7,2022/12/08,USCT,3565287,9,298,3,115,0.285234899328859,0.233969663507226,0.336500135150492,0.00366300366300366,0,0.0108291978521161,0.010989010989011,0,0.0233555060932551,0,0,0,0,0,0,0,0,0
8,2022/12/08,USDC,705749,2,150,1,100,0.2,0.135987844315263,0.264012155684737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022/12/08,USDE,973764,3,130,0,0,0.207692307692308,0.137960077201607,0.277424538183008,0.00869565217391304,0,0.0256645547463866,0.0173913043478261,0,0.0412834718084511,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2022/12/08,USFL,21477737,44,1302,15,474,0.385560675883257,0.359122683888922,0.411998667877591,0.00395569620253165,0.000495303819984807,0.00741608858507849,0.0205696202531646,0.0127447980823469,0.0283944424239822,0.00843881856540084,0.000203896315285218,0.0166737408155165,0.00120554550934298,0,0.00432938554214252,0.0253164556962025,0.0111750627775766,0.0394578486148285
11,2022/12/08,USGA,10617423,28,783,11,331,0.376756066411239,0.342814930959235,0.410697201863243,0.00531208499335989,0.000120182456471831,0.010503987530248,0.0159362549800797,0.0069917696990103,0.0248807402611491,0.00302114803625378,0,0.00893353798890687,0.000431592576607682,0,0.00266916622038799,0.0120845921450151,0.000313683954529038,0.0238555003355012
